타임스탬프,본인이 생각하기에 자신이 얼마나 야민정음에 익숙한가요?,대 - 머,파 - 과,피 - 끠,포 - 쪼,비 - 네,우 - 윽,유 - 윾,며 - 띠,광 - 팡,ㅍ - 고,디 - ㅁ,구 - ㅋ,켜 - 궈,ㅂ - 너,근 - ㄹ,리 - 긘,라 - 콰,읍 - 윰,녕 - 덩,왕 - 앟,통 - 듷,봉 - 넣,픈 - 곧,교 - 꼬,인 - 외,되 - 티,답 - 돤,익 - 의,임 - 읜,일 - 읟,위 - 읶,억 - 여,콘 - 귣,지 - 거,시 - ㅐ,서 - ㅒ,녀 - 티,귀 - 커,리 - 쾨,저 - 겨,찌 - 꺼,끄 - ㅍ,든 - ㅌ,또 - 포,백 - 뿌,1. 역시 대한민국의 육군은,2. 논문을 써야 하는데 폭풍 수면해버림,3. 이 장면 너무 귀엽고 대명작,4. 전 대통령과 비슷하네,5. 우유 먹은 사람 자수하고 광명 찾자,6. 곧 대구 도착해서 유명한 피자 집 갈 것,7. 국문과 강의가 ㄹㅇ 명강,번역기 수정에 참고할 수 있는 추가 의견을 부탁드립니다.
12/12/2017 17:48:17,4,5,5,4,1,5,4,4,2,5,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,역시 머한민논의 뇽곤은,국곰을 써야 하는데 눞옾 수띤해버림,이 장면 너무 커엽고 머팅작,전 머통령과 네슷하네,우유 먹은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 윾띵한 끠자 집 갈것,논곰파 강의가 ㄹㅇ 띵강,신기하네요ㅎㅅㅎ 설문조사 덕분에 배우고 갑니다ㅎㅎ
12/12/2017 17:48:23,5,5,5,5,2,4,3,5,5,5,4,4,3,3,2,5,5,1,1,2,5,3,2,3,2,1,2,1,4,5,4,4,2,1,1,1,1,1,5,1,1,1,3,2,2,4,역시 머한민국의 긍곤뇽,릉곰국 써야 하는데 옾높 수띤해네릔,이 튽띤 너무 커엽고 머띵작,전 머통령과 비슷하네,윽윾 먹은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 윾띵한 괴자 집 갈 것,ㅓ고곰논 강의가 ㄹㅇ 띵강,야! 민정음 조타
12/12/2017 17:48:45,4,5,3,4,2,2,3,5,5,5,4,2,4,1,3,4,2,2,2,2,2,2,2,2,4,4,2,2,4,2,2,2,2,2,1,1,1,4,5,2,3,3,4,3,3,2,역시 머한민국의 육군은,곰국을 써야 하는데 폭풍 수면해버림,이 장면 너무 귀엽고 머띵작,전 머통령과 비슷하네,윽윾 먹은 사람 자수하거 팡띵칮자,곧 머ㅋ 도착하서 윾띵한 끠자집 갈 것,곰논과 강의가 ㄹㅇ 띵강,왤케 어려워요;
12/12/2017 17:49:21,5,5,4,1,1,1,5,5,5,5,1,1,1,4,1,5,2,1,1,1,1,1,1,4,1,3,2,1,5,1,1,5,1,1,2,1,1,1,5,1,1,1,1,1,2,1,역시 머한민국의 곤뇽은,논문을 서야하는데 폭풍 수면해버림,이 장면 너무 커엽고 대띵작,전 머통령과 비슷하네,우유 목은 사람 자수하고 팡명 찾자,곧 머구 도착해서 유명한 피자집 갈 것,국문과 강의가 ㄹㅇ띵강,
12/12/2017 17:50:07,3,4,3,1,1,1,3,5,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,역시 머한민국의 육군은,논문을 써야 하는데 폭풍 수면해버림,이 장면 너무 커엽고 대띵작 ,전 대통령과 비슷하네,우윾 먹은 사람 자수하고 팡명찾자,곧 머구 도착해서 유명한 피자집 갈 것 ,국문과 강의가 ㄹㅇ 명강,어려워요
12/12/2017 17:51:02,4,5,2,2,1,2,3,5,5,5,2,2,1,4,2,3,2,2,1,3,2,2,3,2,2,1,2,1,2,2,1,3,1,1,1,1,1,2,5,1,2,1,2,1,3,2,역시 머한민국의 곤뇽은,논문을 써야 하는데 포풍 수면해버림,이 장면 너무 커엽고 띵자,전 머통령과 비슷하네,우유 먹은 사람 자수하고 팡명 찾자,곧 머구 도착해서 유명한 피자 집 갈 것,국문과 강의가 래 띵강,잘 알아두세요 선생은 고생길을 걸을 것입니다 다시 말해서 레포트가 밤꽃길이다 이겁니다
12/12/2017 17:51:29,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,윾시 머한민국의 윾군은,곰국을 써야 하는데 폭풍 수면해버림,이 장면 너무 커엽고 머명작,전 머통령과 비슷하네,우윾 먹은 사람 자수하고 광명 찾자,곧 머구 도착해서 유명한 피자 집 갈 것,국문과 강의가 ㄹㅇ 띵강,
12/12/2017 17:52:54,5,5,5,5,2,5,3,5,4,5,3,2,3,4,3,5,2,2,2,2,3,2,2,3,2,5,4,3,4,2,1,2,3,2,3,1,1,3,5,2,1,2,3,3,2,1,역시 머화뫼국의 곤뇽은,국곰을 써야 하는데 눞옾 수면해 버림,이 장면 너무 커엽고 머띵작,전 머통령과 네슷하비,우윾 먹은 사람 자수하고 팡띵찾자,곧 머구 도착해서 윾명화 끠자집 갈 것,논곰파 강의가 근ㅇ 띵강,
12/12/2017 17:53:12,5,5,4,5,1,5,5,5,5,5,2,3,5,3,4,5,5,1,2,1,5,2,2,2,2,5,2,1,3,5,5,5,2,2,5,5,5,1,5,1,5,1,1,1,1,1,역ㅐ 머화뫼논의 뇽곤은,곰국을 써야 하는데 눞옾수띤해버릔,이 장띤 너무 커엽ㅁ 머띵작,전 머웉령과 네슷하비,윽윾 먹은 사람 자수하ㅁ 팡띵찾자,곧 머ㅋ 도착해서 윾띵화 끠자집 갈 짓,곰논과 강의가 근ㅇ 띵강,
12/12/2017 17:54:19,5,5,5,5,2,5,5,5,5,5,5,4,4,3,4,5,3,3,2,2,4,3,2,4,2,5,3,3,5,3,2,3,1,1,4,1,1,2,5,1,4,1,1,3,2,2,역시 머화뫼논익 긍곤뇽,릉곰국 써야 하극데 옾눞 수띤해또림,이 튽띤 ㅂ믁 커엽ㅍ 머띵작,전 머웉령파 네슷하비,윽윾 댁은 ㅅ 자수하고 팡띵찾자,곧 머구 도착해수 윾띵한 괴자집 갈 것,곰논파 강익가 ㄹㅇ 띵강,새로운 매칭이 발견될 경우의 유지 보수에 대해서도 고려해야 할 것 같습니다
